"Interview_difficulty","Interview_experience","Offer","Company_name","Referral","process_time","sector"
"Difficult Interview","Negative Experience","Offer","Wells Fargo","Employee Referral",3,"Banking"
"Difficult Interview","Positive Experience","Offer","Wells Fargo",NA,14,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Recruiter",14,"Banking"
"Easy Interview","Positive Experience","No Offer","Wells Fargo","Other Source",1,"Banking"
"Difficult Interview","Negative Experience","No Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",28,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",28,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Employee Referral",42,"Banking"
"Average Interview","Negative Experience","No Offer","Wells Fargo",NA,14,"Banking"
"Average Interview","Neutral Experience","Offer","Wells Fargo","Employee Referral",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Wells Fargo","College Or University",28,"Banking"
NA,NA,"No Offer","Wells Fargo",NA,NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",42,"Banking"
"Difficult Interview","Neutral Experience","Offer","Wells Fargo","Online",1,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo","College Or University",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Wells Fargo","Online",NA,"Banking"
"Average Interview","Neutral Experience","Offer","Wells Fargo","Employee Referral",NA,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo","Employee Referral",14,"Banking"
"Difficult Interview","Neutral Experience","No Offer","Wells Fargo","Recruiter",1,"Banking"
"Difficult Interview","Negative Experience","No Offer","Wells Fargo","Recruiter",60,"Banking"
"Average Interview","Negative Experience","No Offer","Wells Fargo","Online",21,"Banking"
"Easy Interview","Neutral Experience","Offer","Wells Fargo","College Or University",21,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","College Or University",14,"Banking"
"Average Interview","Neutral Experience","No Offer","Wells Fargo","College Or University",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Wells Fargo","Online",21,"Banking"
"Average Interview","Positive Experience","No Offer","Wells Fargo","Online",60,"Banking"
"Average Interview","Negative Experience","No Offer","Wells Fargo","Employee Referral",360,"Banking"
"Average Interview","Positive Experience","No Offer","Wells Fargo","College Or University",NA,"Banking"
"Average Interview","Positive Experience","No Offer","Wells Fargo","College Or University",NA,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","Online",28,"Banking"
"Easy Interview","Positive Experience","Offer","Wells Fargo","Online",60,"Banking"
"Average Interview","Positive Experience","Offer","Wells Fargo","College Or University",28,"Banking"
